metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,rl_only,0.2,0.06731601021416588,0.18171428571428566,0.21885714285714283,50
f1_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714286,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,hybrid,0.6051061601748874,0.06438169579736362,0.5875574499891623,0.622644388600011,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15942630460293433,0.207703154842208,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012562850056953132,0.03488902567213959,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,rl_only,0.20763817660616762,0.07722469565537962,0.18679249300587014,0.2290360294242423,50
ndcg_at_7,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,hidden30_only,0.0,inclusive_range_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2541660668100125,0.29323437025245996,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,hybrid,0.673142857142857,0.07595785674744893,0.652,0.6937142857142858,50
f1_at_7,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,hidden30_only,0.2,component_continuous_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.17257142857142851,50
