anchor,row_type,profile,metric,checkpoint,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,10000,hybrid,0.2571428571428571,0.14716535818220364,0.2171428571428571,0.2971428571428571,50,20000,4964107620384811193
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,10000,rl_only,0.07999999999999999,0.0919953279149767,0.057142857142857134,0.1057142857142857,50,20000,10537623241723775108
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,20000,hybrid,0.3028571428571428,0.15173575751380494,0.26,0.34571428571428564,50,20000,8599000223444054089
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,20000,rl_only,0.12,0.09727653296173866,0.09428571428571426,0.1457142857142857,50,20000,7905701812180179710
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,30000,hybrid,0.3171428571428571,0.16400343349277094,0.2714285714285714,0.36285714285714277,50,20000,2260212711102943874
primary_corrected,checkpoint_profile_descriptive,loyal,f1_at_7,30000,rl_only,0.13714285714285712,0.13213399229582568,0.10000000000000002,0.17428571428571427,50,20000,17509993364143491099
primary_corrected,final_profile_descriptive,loyal,f1_at_7,30000,hybrid,0.3171428571428571,0.16400343349277094,0.2714285714285714,0.36285714285714277,50,20000,9327197239739735407
primary_corrected,final_profile_descriptive,loyal,f1_at_7,30000,rl_only,0.13714285714285712,0.13213399229582568,0.10285714285714284,0.17428571428571427,50,20000,7304326188852534794
primary_corrected,final_profile_descriptive,loyal,f1_at_7,30000,topsis_only,0.16285714285714284,0.10002082248851303,0.1342857142857143,0.1914285714285714,50,20000,1275070532152233676
primary_corrected,final_profile_descriptive,loyal,f1_at_7,30000,popularity,0.1457142857142857,0.130644128761463,0.10857142857142858,0.1828571428571428,50,20000,16204047792974223704
primary_corrected,final_profile_descriptive,loyal,f1_at_7,30000,random,0.022857142857142857,0.05290400570128865,0.00857142857142857,0.037142857142857144,50,20000,12975956940251233612
primary_corrected,final_profile_descriptive,loyal,ndcg_at_7,30000,hybrid,0.34104503535924385,0.16526011451093764,0.2962570695437894,0.3852827695492904,50,20000,2871214299872476865
primary_corrected,final_profile_descriptive,loyal,ndcg_at_7,30000,rl_only,0.17337012602707397,0.16976918279221315,0.12763604560662475,0.22071225322987403,50,20000,6635174472190088502
primary_corrected,final_profile_descriptive,loyal,ndcg_at_7,30000,topsis_only,0.1514038462305867,0.11456796638406609,0.12045098672143502,0.18334263439365575,50,20000,5492403147587076421
primary_corrected,final_profile_descriptive,loyal,ndcg_at_7,30000,popularity,0.1639565696766548,0.14770934516562084,0.12404764793015453,0.20639193521330979,50,20000,4546680509209002105
primary_corrected,final_profile_descriptive,loyal,ndcg_at_7,30000,random,0.0260326736312978,0.06625842969852477,0.009610808667962023,0.04597988511170981,50,20000,13383832596286321162
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,500,hybrid,0.4199999999999999,0.171744121632402,0.37142857142857144,0.4657142857142857,50,20000,17629145984900963920
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,500,rl_only,0.045714285714285714,0.06731601021416589,0.028571428571428567,0.0657142857142857,50,20000,17372595528266807656
primary_corrected,checkpoint_profile_descriptive,balanced,f1_at_7,1000,hybrid,0.39142857142857146,0.16781914463529615,0.3457142857142857,0.43714285714285717,50,20000,699129892786322667
